"SaleID","County","Township","TaxDistrict","ParcelNumber","PropertyClass","PostedAV","CurrentAV","SalePrice","PostedSaleRatio","SaleRatio","PostedExplanation","Explanation","Reclassified"
"C01-2021-0040674","Adams","Root",14,"01-02-34-401-021.000-014",452,130900,129300,621970,0.210460311590591,0.20788784024953,"Significant amount of Personal Property","SALE DOES NOT REFLECT MARKET VALUE",TRUE
"C01-2021-0040675","Adams","Washington",22,"01-05-03-416-004.000-022",510,42500,50300,97000,0.438144329896907,0.518556701030928,"Purchased from LLC","BUSINESS TRANSACTION",TRUE
"C01-2021-0040676","Adams","Washington",22,"01-05-03-209-009.000-022",510,55400,62700,90000,0.615555555555556,0.696666666666667,"Not Typical of the NBHD","AV DOES NOT REFLECT MARKET VALUE",TRUE
"C01-2021-0040677","Adams","Root",14,"01-02-34-306-064.000-014",500,7500,154500,18000,0.416666666666667,8.58333333333333,"Purchased by LLC","BUSINESS TRANSACTION",TRUE
"C01-2021-0040680","Adams","Wabash",19,"01-11-29-209-008.000-019",510,59300,65500,40000,1.4825,1.6375,"Sold Twice","SOLD MORE THAN ONCE IN ONE YEAR",TRUE
"C01-2021-0040694","Adams","Wabash",19,"01-11-29-312-009.000-019",510,71800,80800,26000,2.76153846153846,3.10769230769231,"Not Listed on Market","NOT LISTED ON OPEN MARKET",TRUE
"C01-2021-0040700","Adams","Monroe",10,"01-08-33-301-180.000-010",510,86100,115900,60500,1.42314049586777,1.91570247933884,"Private Sale","NOT LISTED ON OPEN MARKET",TRUE
"C01-2021-0040704","Adams","Washington",22,"01-05-04-200-042.000-022",400,21800,21800,1e+05,0.218,0.218,"Significant Physical Change","CHANGES AFTER",TRUE
"C01-2021-0040705","Adams","Monroe",11,"01-08-03-100-017.000-011",500,500,188800,25500,0.0196078431372549,7.40392156862745,"Significant Physical Change","CHANGES AFTER",TRUE
"C01-2021-0040707","Adams","Washington",22,"01-05-03-113-095.000-022",510,72100,82300,109900,0.656050955414013,0.748862602365787,"Not Listed on Market","NOT LISTED ON OPEN MARKET",TRUE
"C01-2021-0040708","Adams","Washington",22,"01-05-04-209-001.000-022",510,49000,56400,32000,1.53125,1.7625,"Significant Physical Change","CHANGES AFTER",TRUE
"C01-2021-0040717","Adams","Washington",22,"01-05-03-300-033.500-022",455,159100,179000,260000,0.611923076923077,0.688461538461538,"Significant amount of Personal Property","SALE DOES NOT REFLECT MARKET VALUE",TRUE
"C01-2021-0040731","Adams","Washington",22,"01-05-04-200-001.000-022",480,161100,168000,3e+05,0.537,0.56,"Sold Twice","SOLD MORE THAN ONCE IN ONE YEAR",TRUE
"C01-2021-0040741","Adams","St. Marys",15,"01-06-20-100-015.000-015",511,207400,237100,115000,1.80347826086957,2.06173913043478,"Sold Twice","SOLD MORE THAN ONCE IN ONE YEAR",TRUE
"C01-2021-0040752","Adams","Root",14,"01-02-28-401-001.229-014",500,400,209700,22000,0.0181818181818182,9.53181818181818,"Sold Twice","SOLD MORE THAN ONCE IN ONE YEAR",TRUE
"C01-2021-0040753","Adams","Root",14,"01-02-28-301-001.194-014",500,300,206900,35000,0.00857142857142857,5.91142857142857,"Sold Twice","SOLD MORE THAN ONCE IN ONE YEAR",TRUE
"C01-2021-0040787","Adams","Blue Creek",1,"01-09-08-400-001.000-001",511,92700,107600,32591,2.84434353042251,3.30152496087877,"Relationship Sale","PRE-EXISTING RELATIONSHIP",TRUE
"C01-2021-0040814","Adams","Washington",22,"01-05-03-400-077.000-022",510,44500,49300,129800,0.342835130970724,0.379815100154083,"Sold Twice","SOLD MORE THAN ONCE IN ONE YEAR",TRUE
"C01-2021-0040819","Adams","Root",14,"01-02-28-401-001.237-014",510,85800,175800,46000,1.86521739130435,3.82173913043478,"Sold Twice","SOLD MORE THAN ONCE IN ONE YEAR",TRUE
"C01-2021-0040820","Adams","Root",14,"01-02-35-101-002.628-014",500,1300,292700,63266,0.0205481617298391,4.62649764486454,"Sold Twice","SOLD MORE THAN ONCE IN ONE YEAR",TRUE
"C01-2021-0040823","Adams","Monroe",10,"01-08-33-400-012.000-010",350,86600,99900,157500,0.54984126984127,0.634285714285714,"Significant amount of Personal Property","SALE DOES NOT REFLECT MARKET VALUE",TRUE
"C01-2021-0040824","Adams","Washington",22,"01-05-04-209-003.000-022",500,2400,2500,50000,0.048,0.05,"Sold Twice","SOLD MORE THAN ONCE IN ONE YEAR",TRUE
"C01-2021-0040849","Adams","Monroe",9,"01-08-29-201-010.001-009",511,192000,271200,350000,0.548571428571429,0.774857142857143,"Significant Physical Change","CHANGES AFTER",TRUE
"C01-2021-0040857","Adams","Monroe",11,"01-08-03-101-013.000-011",510,87800,101500,319800,0.274546591619762,0.317385866166354,"Relationship Sale","PRE-EXISTING RELATIONSHIP",TRUE
"C01-2021-0040867","Adams","Washington",22,"01-05-03-106-009.000-022",510,76300,90500,75000,1.01733333333333,1.20666666666667,"Sold Twice","SOLD MORE THAN ONCE IN ONE YEAR",TRUE
"C01-2021-0040870","Adams","Root",14,"01-02-33-200-016.000-014",431,301700,312300,6e+05,0.502833333333333,0.5205,"Sold Twice","SOLD MORE THAN ONCE IN ONE YEAR",TRUE
"C01-2021-0040878","Adams","Wabash",18,"01-11-05-301-022.003-018",500,800,26600,104500,0.0076555023923445,0.254545454545455,"Valued with Developer's Discount","BUSINESS TRANSACTION",TRUE
"C01-2021-0040882","Adams","Washington",22,"01-05-03-201-018.000-022",401,132700,147900,225000,0.589777777777778,0.657333333333333,"Trust Sale","UNIQUE SALE",TRUE
"C01-2021-0040883","Adams","Washington",22,"01-05-01-101-025.000-022",500,300,29800,170000,0.00176470588235294,0.175294117647059,"Valued with Developer's Discount","BUSINESS TRANSACTION",TRUE
