"","SaleID","ParcelNumber","Address","City","TotalAV","PropertyClass","Neighborhood","TaxDistrict","Acre","SalePrice","County","SaleRatio","PPA","State","Zip"
"15","C01-2024-0044117",10804202015030000,"NYNSOUTH ST","MONROE",37500,500,"917502-011",11,0.369,35500,"Adams",1.05633802816901,96205.9620596206,"IN","46772"
"16","C01-2024-0044145",10735300008500000,"YYNS 500 W","BERNE",36800,100,"915501-004",4,17.149,3e+05,"Adams",0.122666666666667,17493.7314129104,"IN","46711"
"17","C01-2024-0044160",1.0804201003e+16,"NYY206 W JACKSON ST","MONROE",120400,510,"917501-011",11,0.182,175000,"Adams",0.688,961538.461538462,"IN","46772"
"18","C01-2024-0044173",1.0228101085e+16,"NYY162 N WHEAT RIDGE CT","DECATUR",129700,510,"902505-013",13,0.434,175000,"Adams",0.741142857142857,403225.806451613,"IN","46733"
"19","C01-2024-0044196",1.0514100006e+16,"NYNE 400 N","DECATUR",200,100,"910501-020",20,0.45,746640,"Adams",0.00026786670952534,1659200,"IN","46733"
"20","C01-2024-0044201",1.1022300007e+16,"NYNW 1000 S","GENEVA",67900,100,"915501-005",5,38.75,616530,"Adams",0.110132515854865,15910.4516129032,"IN","46740"
"21","C01-2024-0044203",1.0804202073e+16,"NYY113 W WASHINGTON ST","MONROE",75800,510,"917504-011",11,0.152,74000,"Adams",1.02432432432432,486842.105263158,"IN","46772"
"22","C01-2024-0044208",1.0723400013e+16,"NYY4033 W 400 S","BERNE",385700,101,"910501-003",3,15.66,6e+05,"Adams",0.642833333333333,38314.1762452107,"IN","46711"
"23","C01-2024-0044211",1.0402201004e+16,"NYY4060 W US HIGHWAY 224","DECATUR",85700,511,"910501-007",7,0.42,151900,"Adams",0.564186965108624,361666.666666667,"IN","46733"
"24","C01-2024-0044212",1.0510203031e+16,"NYY41 HOMESTEAD","DECATUR",134900,510,"922518-022",22,1.32,150000,"Adams",0.899333333333333,113636.363636364,"IN","46733"
"25","C01-2024-0044213",10906101001003000,"NYNS 300 E","DECATUR",152000,100,"910501-001",1,70.795,1362803,"Adams",0.111534829318691,19249.9894060315,"IN","46733"
"26","C01-2024-0044218",11021401002002000,"NYNW 950 S","GENEVA",7300,100,"915501-005",5,12,132000,"Adams",0.0553030303030303,11000,"IN","46740"
"27","C01-2024-0044224",10228301001173000,"NYY1344 BEARS PASS","DECATUR",315900,510,"923501-014",14,0.371,385000,"Adams",0.820519480519481,1037735.8490566,"IN","46733"
"28","C01-2024-0044024",1.0808400006e+16,"NYY1878 S US HIGHWAY 27","MONROE",343900,101,"910501-008",8,16.615,174675,"Adams",1.96879919851152,10513.0905808005,"IN","46772"
"29","C01-2024-0044030",1.1104100021e+16,"NYY405 FULTON ST","BERNE",99500,510,"919506-018",18,0.2,80000,"Adams",1.24375,4e+05,"IN","46711"
"30","C01-2024-0044046",1.0503120011e+16,"NYY316 LINE ST","DECATUR",120100,510,"922510-022",22,0.202,145500,"Adams",0.825429553264605,720297.02970297,"IN","46733"
"31","C01-2024-0044057",1.050420201e+16,"NYY214 OAKRIDGE PL","DECATUR",140400,510,"922501-022",22,0.26,210000,"Adams",0.668571428571429,807692.307692308,"IN","46733"
"32","C01-2024-0044059",10104300002500000,"NYY11030 N 650 W-1","OSSIAN",356300,101,"902501-012",12,7.388,520000,"Adams",0.685192307692308,70384.4071467244,"IN","46777"
"33","C01-2024-0044067",11105301022003000,"NYN322 SALMON RUN","BERNE",26600,500,"920505-018",18,0.351,70000,"Adams",0.38,199430.199430199,"IN","46711"
"34","C01-2024-0044069",1.0504211047e+16,"NYY110 S 15TH ST","DECATUR",85400,510,"922503-022",22,0.151,68614,"Adams",1.24464395021424,454397.350993378,"IN","46733"
"35","C01-2024-0044075",10702400005600000,"NYNW 100 S-1","BLUFFTON",62700,100,"910501-003",3,29.644,450000,"Adams",0.139333333333333,15180.1376332479,"IN","46714"
"36","C01-2024-0044078",1.0734400005e+16,"NYNS 500 W","BERNE",27100,100,"915501-004",4,18.5,270000,"Adams",0.10037037037037,14594.5945945946,"IN","46711"
"37","C01-2024-0043996",1.1026400001e+16,"NYY4434 W STATE ROAD 116","GENEVA",311000,101,"915501-005",5,15,255000,"Adams",1.21960784313726,17000,"IN","46740"
"38","C01-2024-0044027",1.1124300003e+16,"NYY9803 S 225 E","GENEVA",338600,101,"915501-017",17,17.5,420000,"Adams",0.806190476190476,24000,"IN","46740"
"39","C01-2024-0044029",1.1207100001e+16,"NYY3462 E 700 S","BERNE",117200,101,"915501-006",6,1.48,185000,"Adams",0.633513513513513,125000,"IN","46711"
"40","C01-2024-0044226",1.112910001e+16,"NYY575 WINCHESTER RD","GENEVA",93100,510,"921501-019",19,1,120000,"Adams",0.775833333333333,120000,"IN","46740"
"41","C01-2024-0044230",1.0236301002e+16,"NYY1202 EDGE WATER CT","DECATUR",307800,510,"923510-014",14,1.025,375000,"Adams",0.8208,365853.658536585,"IN","46733"
"42","C01-2024-0044272",1.0503113072e+16,"NYY510 W JEFFERSON ST","DECATUR",76900,510,"922510-022",22,0.076,130000,"Adams",0.591538461538462,1710526.31578947,"IN","46733"
"43","C01-2024-0044274",1.0509100009e+16,"NYY682 W 500 N","DECATUR",191900,510,"902501-021",21,0.99,274900,"Adams",0.698072026191342,277676.767676768,"IN","46733"
"44","C01-2024-0044279",1.1219200001e+16,"NYY9081 S 350 E","GENEVA",191700,101,"915501-006",6,2.12,280000,"Adams",0.684642857142857,132075.471698113,"IN","46740"
"45","C01-2024-0044290",1.0826300004e+16,"NYY1322 E 450 S","BERNE",251700,101,"910501-008",8,15.16,3e+05,"Adams",0.839,19788.9182058047,"IN","46711"
"46","C01-2024-0044297",1.0828400001e+16,"NYY33 W 500 S","BERNE",183000,511,"915501-009",9,1,125000,"Adams",1.464,125000,"IN","46711"
"47","C01-2024-0044303",10910301002002000,"NYNE 150 S","MONROE",47800,100,"910501-001",1,25.196,3e+05,"Adams",0.159333333333333,11906.6518494999,"IN","46772"
"48","C01-2024-0044308",1.050430104e+16,"NYY2480 W DEER RUN TRAIL","DECATUR",224600,510,"922505-022",22,0.344,265000,"Adams",0.847547169811321,770348.837209302,"IN","46733"
"49","C01-2024-0044311",1.0933200003e+16,"NYNE 500 S","BERNE",169500,100,"915501-002",2,92.1,1472000,"Adams",0.115149456521739,15982.6275787188,"IN","46711"
"50","C01-2024-0044087",1.0504202004e+16,"NYY210 OAKRIDGE PL","DECATUR",117100,510,"922501-022",22,0.238,189900,"Adams",0.616640337019484,797899.159663866,"IN","46733"
"51","C01-2024-0044089",1.0503207001e+16,"NYY428 FORNAX","DECATUR",41800,510,"922511-022",22,0.182,82500,"Adams",0.506666666666667,453296.703296703,"IN","46733"
"52","C01-2024-0044090",1.0833301161e+16,"NYY411 E MAIN","BERNE",90800,510,"919505-010",10,0.182,119000,"Adams",0.763025210084034,653846.153846154,"IN","46711"
"53","C01-2024-0044103",1.0503428005e+16,"NYY1010 RUSSELL ST","DECATUR",39100,599,"922513-022",22,0.4,44900,"Adams",0.870824053452116,112250,"IN","46733"
"54","C01-2024-0044113",1.0433100002e+16,"NYY721 N 700 W","DECATUR",382300,511,"910501-007",7,1.72,425000,"Adams",0.899529411764706,247093.023255814,"IN","46733"
"55","C01-2024-0044125",1.0735300006e+16,"NYY4615 W STATE ROAD 218","BERNE",238500,511,"915501-004",4,1.5,275000,"Adams",0.867272727272727,183333.333333333,"IN","46711"
"56","C01-2024-0044166",11135400005500000,"NYY1787 E 1200 S-1","BRYANT",219800,101,"915501-017",17,12,350000,"Adams",0.628,29166.6666666667,"IN","47326"
"57","C01-2024-0044202",1.1022300006e+16,"NYNW 1000 S","GENEVA",101800,100,"915501-005",5,48.2,746000,"Adams",0.136461126005362,15477.1784232365,"IN","46740"
"58","C01-2024-0044204",10228401001237000,"NYY2582 Hogans Alley","Decatur",190700,510,"923501-014",14,0.169,269000,"Adams",0.708921933085502,1591715.97633136,"IN","46733"
"59","C01-2024-0044209",11012201009002000,"NYY3333 W 750 S","GENEVA",308100,101,"915501-005",5,8.785,385000,"Adams",0.80025974025974,43824.7011952191,"IN","46740"
"60","C01-2024-0044214",11021401002001000,"NYNW 950 S","GENEVA",96600,100,"915501-005",5,45.965,712000,"Adams",0.135674157303371,15490.0467747199,"IN","46740"
"61","C01-2024-0044217",1.0331300027e+16,"NYNE 600 N","DECATUR",1600,100,"902501-016",16,4.08,7e+05,"Adams",0.00228571428571429,171568.62745098,"IN","46733"
"62","C01-2024-0044217",1.0331300025e+16,"NYY3333 E 600 N","DECATUR",347900,101,"902501-016",16,13.85,7e+05,"Adams",0.497,50541.5162454874,"IN","46733"
"63","C01-2024-0044219",1.0722200004e+16,"NYY5555 W 350 S","BERNE",238200,101,"910501-003",3,4,360000,"Adams",0.661666666666667,90000,"IN","46711"
"64","C01-2024-0044231",11111300006600000,"NYNE 800 S","GENEVA",16200,100,"915501-017",17,7.178,495000,"Adams",0.0327272727272727,68960.7132906102,"IN","46740"
"65","C01-2024-0044235",1.0728300001e+16,"NYY4533 SW STATE ROAD 116","BLUFFTON",92500,511,"915541-004",4,3.31,175000,"Adams",0.528571428571429,52870.0906344411,"IN","46714"
"66","C01-2024-0044236",1.1216400004e+16,"NYN8623 S 550 E","BERNE",88600,100,"915501-006",6,40,377212,"Adams",0.234881180874415,9430.3,"IN","46711"
"67","C01-2024-0044250",1.1129211033e+16,"NYY245 HARRISON ST","GENEVA",72800,510,"921511-019",19,0.146,96000,"Adams",0.758333333333333,657534.246575342,"IN","46740"
"68","C01-2024-0044256",1.0230200016e+16,"NYNN 250 W","DECATUR",2000,100,"902501-013",13,1,12000,"Adams",0.166666666666667,12000,"IN","46733"
"69","C01-2024-0044257",1.0219400006e+16,"NYNN 250 W","DECATUR",54300,100,"902501-013",13,25.53,45300,"Adams",1.19867549668874,1774.3830787309,"IN","46733"
"70","C01-2024-0044260",1.0234401076e+16,"NYY110 MARSHALL","DECATUR",120900,401,"923412-014",14,0.209,157400,"Adams",0.768106734434562,753110.04784689,"IN","46733"
"71","C01-2024-0044267",1.0922400002e+16,"NNNS 650 E","MONROE",33100,199,"910501-001",1,1.4,50000,"Adams",0.662,35714.2857142857,"IN","46772"
"72","C01-2024-0044280",1.0806300002e+16,"NYY531 S 300 W","MONROE",39800,199,"910501-008",8,2,135000,"Adams",0.294814814814815,67500,"IN","46772"
"73","C01-2024-0044286",10529200005500000,"NYY1656 N 100 W","DECATUR",289400,101,"910501-020",20,5.814,122853,"Adams",2.35566083042335,21130.5469556244,"IN","46733"
"74","C01-2024-0044287",1.1109200007e+16,"NYY7380 S 000 RD","BERNE",142800,510,"915501-017",17,0.5,215000,"Adams",0.664186046511628,430000,"IN","46711"
"75","C01-2024-0044005",1.0618400022e+16,"NYY3395 N US HIGHWAY 33","DECATUR",163100,511,"910501-015",15,2.01,125000,"Adams",1.3048,62189.0547263682,"IN","46733"
"76","C01-2024-0044008",1.0234103035e+16,"NYY1221 MIX AVE","DECATUR",109000,510,"923506-014",14,0.152,140000,"Adams",0.778571428571429,921052.631578947,"IN","46733"
"77","C01-2024-0044014",10228401501229000,"NYY2559 Hogans Alley","DECATUR",176100,510,"923501-014",14,0.14,225500,"Adams",0.780931263858093,1610714.28571429,"IN","46733"
"78","C01-2024-0044015",1.1016400001e+16,"NYNS 650 W","GENEVA",67200,100,"915501-005",5,40,7e+05,"Adams",0.096,17500,"IN","46740"
"79","C01-2024-0044018",1.0513201013e+16,"NYY3877 N SALEM RD","DECATUR",86700,520,"906502-020",20,0.337,120000,"Adams",0.7225,356083.086053412,"IN","46733"
"80","C01-2024-0044026",1.0234310023e+16,"NYY921 DIERKES ST","DECATUR",50400,510,"922508-014",14,0.138,75000,"Adams",0.672,543478.260869565,"IN","46733"
"81","C01-2024-0044031",1.0828400001e+16,"NYY33 W 500 S","BERNE",173100,511,"915501-009",9,1,125000,"Adams",1.3848,125000,"IN","46711"
"82","C01-2024-0044042",1.1022300008e+16,"NYY5734 W 950 S","GENEVA",223600,101,"915501-005",5,7.95,1e+05,"Adams",2.236,12578.6163522013,"IN","46740"
"83","C01-2024-0044047",1.0833301296e+16,"NYY218 N JEFFERSON","BERNE",67700,530,"919502-010",10,0.2,80000,"Adams",0.84625,4e+05,"IN","46711"
"84","C01-2024-0044048",1.0234101009e+16,"NYY1034 LEWIS ST","DECATUR",59800,520,"923506-014",14,0.157,450000,"Adams",0.132888888888889,2866242.03821656,"IN","46733"
"85","C01-2024-0044049",1.0502101129e+16,"NYY212 LIMBERLOST TR","DECATUR",129700,510,"922523-022",22,0.296,128000,"Adams",1.01328125,432432.432432432,"IN","46733"
"86","C01-2024-0044060",1.0503416007e+16,"NYY604 W GRANT ST","DECATUR",82400,510,"922513-022",22,0.236,63000,"Adams",1.30793650793651,266949.152542373,"IN","46733"
"87","C01-2024-0044070",1.0804201022e+16,"NYY201 W JACKSON ST -5","MONROE",64100,510,"917501-011",11,0.318,160000,"Adams",0.400625,503144.65408805,"IN","46772"
"88","C01-2024-0044074",11105301022017000,"NYY1065 Black Bear Path","BERNE",245200,510,"920505-018",18,0.248,328769,"Adams",0.74581240932083,1325681.4516129,"IN","46711"
"89","C01-2024-0044076",1.0506200007e+16,"NYY2495 W 550 N","DECATUR",277500,101,"902501-021",21,24.33,625000,"Adams",0.444,25688.4504726675,"IN","46733"
"90","C01-2024-0044080",1.1208400004e+16,"NYNS 450 E","BERNE",6300,100,"915501-006",6,2.68,26800,"Adams",0.235074626865672,10000,"IN","46711"
"91","C01-2024-0044091",1.0804204037e+16,"NYY406 MERIDIAN","MONROE",321700,510,"917502-011",11,0.387,228000,"Adams",1.4109649122807,589147.286821705,"IN","46772"
"92","C01-2024-0044105",1.0233200155e+16,"NYY1313 EAGLE GLEN CT","DECATUR",456200,510,"923501-014",14,0.491,485000,"Adams",0.940618556701031,987780.040733198,"IN","46733"
"93","C01-2024-0044115",1.0833301397e+16,"NYY305 E MAIN","BERNE",99500,510,"919505-010",10,0.182,132500,"Adams",0.750943396226415,728021.978021978,"IN","46711"
"94","C01-2024-0044120",10229401007281000,"NYY2604 Tigers Trl","Decatur",190100,510,"923501-014",14,0.287,359999,"Adams",0.528057022380618,1254351.91637631,"IN","46733"
"95","C01-2024-0044132",1.1107100012e+16,"NYNW 700 S","BERNE",9100,500,"915501-017",17,2.17,35000,"Adams",0.26,16129.0322580645,"IN","46711"
