"","County","Type","Grouping","LowerBound","Median","UpperBound","COD","COV","PRD","PRB","Sales"
"2.5%96","Carroll","2023","Countywide",0.14,0.17,0.2,26.41,33.42,1.04,0,36
"2.5%97","Cass","2023","Countywide",0.11,0.13,0.2,55.8,58.13,0.98,0,37
"2.5%98","Clark","2023","Countywide",0.03,0.06,0.1,122.27,118.69,0.93,0,39
"2.5%99","Clay","2023","Countywide",0.1,0.13,0.16,56.99,64.59,1.11,0,65
"2.5%100","Clinton","2023","Countywide",0.15,0.16,0.17,29.42,44.97,0.98,0,38
"2.5%101","Crawford","2023","Countywide",0.06,0.1,0.14,70.6,73.81,1.19,0,33
"2.5%102","Daviess","2023","Countywide",0.12,0.16,0.22,60.85,62.53,1.38,0,62
"2.5%103","Dearborn","2023","Countywide",0.04,0.08,0.13,81.92,82.86,0.95,0,32
"2.5%104","Decatur","2023","Countywide",0.13,0.14,0.15,30.73,47.12,1.02,0,32
"2.5%105","Dekalb","2023","Countywide",0.1,0.11,0.13,47.06,58.19,1.15,0,46
"2.5%106","Delaware","2023","Countywide",0.11,0.13,0.16,54.11,71.64,0.95,0,46
"2.5%107","Dubois","2023","Countywide",0.1,0.12,0.15,61.61,71.1,1.13,0,51
"2.5%108","Elkhart","2023","Countywide",0.1,0.14,0.17,44.86,57.17,0.97,0,32
"df_sp5","Fayette","2023","Countywide",0.07,0.12,0.18,53.98,64.14,0.96,0,14
"df_sp6","Floyd","2023","Countywide",0.04,0.1,0.11,52.42,75.72,0.93,0,12
"2.5%109","Fountain","2023","Countywide",0.14,0.16,0.18,29.84,45.05,1.03,0,41
"2.5%110","Franklin","2023","Countywide",0.07,0.1,0.15,89.78,86.58,1.04,0,45
"2.5%111","Fulton","2023","Countywide",0.16,0.18,0.21,35.62,43.69,1.01,0,30
"2.5%112","Gibson","2023","Countywide",0.12,0.14,0.15,46.9,62.75,1.17,0,59
"2.5%113","Grant","2023","Countywide",0.13,0.13,0.14,33.04,46.52,0.97,0,50
"2.5%114","Greene","2023","Countywide",0.04,0.06,0.1,133.98,104.09,1.14,0,79
"df_sp7","Hamilton","2023","Countywide",0.14,0.17,0.36,51.56,46.51,1.16,0,11
"df_sp8","Hancock","2023","Countywide",0.12,0.18,0.22,44.25,53.6,0.98,0,16
"2.5%115","Harrison","2023","Countywide",0.06,0.1,0.13,82.7,84.1,1.08,0,72
"2.5%116","Hendricks","2023","Countywide",0.17,0.19,0.21,26.41,36.58,1.13,0,31
"2.5%117","Henry","2023","Countywide",0.13,0.16,0.2,40.36,45.34,1.15,0,65
