"","County","Type","Grouping","LowerBound","Median","UpperBound","COD","COV","PRD","PRB","Sales"
"df_sp162","Kosciusko","Industrial Improved","Countywide",0.83,1,1.06,17.24,22.69,1.05,0,13
"df_sp163","Kosciusko","Industrial Improved","Plain",0.84,0.99,1.29,18.38,21.09,0.99,0,6
"df_sp164","Kosciusko","Industrial Improved","Clay",0.65,1,1.06,16.46,22.93,1.03,0,7
"df_sp165","Kosciusko","Commercial Vacant","Countywide",0.4,0.77,1.09,36.71,46.3,1.37,0,7
"2.5%379","Kosciusko","Commercial Improved","Countywide",0.91,0.94,0.98,23,30.76,1.23,0,174
"2.5%380","Kosciusko","Commercial Improved","Wayne",0.91,0.96,0.99,22.77,30.21,1.24,0,119
"df_sp166","Kosciusko","Commercial Improved","Tippecanoe",0.67,0.94,1.03,21.31,30.53,1.24,0,14
"2.5%381","Kosciusko","Commercial Improved","Turkey Creek",0.81,0.89,1.05,26.51,37.02,1.23,0,26
"df_sp167","Kosciusko","Commercial Improved","Clay",0.81,0.93,1.06,18.33,24.13,1.14,0,14
"2.5%382","Kosciusko","Residential Vacant","Countywide",1.08,1.13,1.15,14.25,20.34,1.13,0,154
"df_sp168","Kosciusko","Residential Vacant","Plain",0.98,1.15,1.21,12.03,19.55,1.15,0,10
"df_sp169","Kosciusko","Residential Vacant","Van Buren",1.08,1.12,1.16,4.57,5.77,1.1,0,10
"2.5%383","Kosciusko","Residential Vacant","Turkey Creek",0.94,1.12,1.19,20.27,26.28,1.11,0,32
"2.5%384","Kosciusko","Residential Vacant","Tippecanoe",0.95,1.04,1.17,18.68,23.7,1.09,0,29
"2.5%385","Kosciusko","Residential Vacant","Wayne",1.08,1.15,1.16,10.68,14.67,1.17,0,62
"df_sp170","Kosciusko","Residential Vacant","Clay",0.98,1.1,1.16,18.46,31.34,1.13,0,10
"2.5%386","Kosciusko","Residential Improved","Countywide",1,1,1,10.69,18.35,1.02,0,1355
"2.5%387","Kosciusko","Residential Improved","Clay",0.91,1.01,1.03,7.18,9.58,1.03,0,24
"df_sp171","Kosciusko","Residential Improved","Monroe",0.97,1,1,7.88,12.21,1.02,0,18
"2.5%388","Kosciusko","Residential Improved","Harrison",0.91,1,1.01,8.33,11.21,1.01,0,43
"df_sp172","Kosciusko","Residential Improved","Franklin",0.92,1,1.03,5.54,8.31,1,0,11
"2.5%389","Kosciusko","Residential Improved","Lake",0.9,1,1.03,13.41,19.75,1.01,0,30
"2.5%390","Kosciusko","Residential Improved","Plain",0.96,1,1,9.3,13.05,0.99,0,137
"df_sp173","Kosciusko","Residential Improved","Prairie",0.86,1,1.01,10.09,14.6,1.01,0,14
"2.5%391","Kosciusko","Residential Improved","Tippecanoe",0.93,1,1.01,13.22,16.87,1.04,0,159
"2.5%392","Kosciusko","Residential Improved","Turkey Creek",0.99,1,1,12.28,18.54,1.03,0,210
"2.5%393","Kosciusko","Residential Improved","Van Buren",0.91,1,1.01,11.49,16.42,1,0,57
"2.5%394","Kosciusko","Residential Improved","Washington",0.87,1,1.01,17.63,41.1,1.08,0,35
"2.5%395","Kosciusko","Residential Improved","Wayne",0.99,1,1,9.46,18.87,1.01,0,545
"df_sp174","Kosciusko","Residential Improved","Etna",0.98,1,1.02,9.12,16.85,1,0,13
"2.5%396","Kosciusko","Residential Improved","Seward",0.94,1,1.02,12.57,18.2,1.04,0,39
"df_sp175","Kosciusko","Residential Improved","Scott",0.87,1,1.04,10.51,13.77,1.03,0,19
"1114","Lagrange","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp176","Lagrange","Industrial Improved","Countywide",0.48,0.52,0.56,13.59,22.19,1.03,0,8
"1115","Lagrange","Commercial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"2.5%397","Lagrange","Commercial Improved","Countywide",0.73,0.84,0.94,25.57,35.22,1.04,0,20
"2.5%398","Lagrange","Residential Vacant","Countywide",0.87,1.02,1.21,23.62,31.66,1.22,0,22
"df_sp177","Lagrange","Residential Vacant","Johnson",0.87,1.02,1.25,17.98,22.42,1.05,0,10
"df_sp178","Lagrange","Residential Vacant","Bloomfield",0.78,1.03,1.21,28.06,38.97,1.41,0,12
"2.5%399","Lagrange","Residential Improved","Countywide",0.93,0.94,0.96,12.6,15.67,1.02,0,616
"2.5%400","Lagrange","Residential Improved","Bloomfield",0.91,0.94,0.99,12.99,15.96,1.02,0,110
"2.5%401","Lagrange","Residential Improved","Clay",0.91975,0.94,1,12.4,15.99,1.02,0,45
"2.5%402","Lagrange","Residential Improved","Clearspring",0.86,0.93,0.98,12.78,16.47,1.02,0,45
"df_sp179","Lagrange","Residential Improved","Eden",0.86,0.95,0.99,12.42,15.42,1.02,0,18
"2.5%403","Lagrange","Residential Improved","Greenfield",0.87,0.95,1.03,12.58,15.82,1.03,0,22
"2.5%404","Lagrange","Residential Improved","Johnson",0.91,0.94,0.98,12.3,15.18,1.02,0,120
"2.5%405","Lagrange","Residential Improved","Lima",0.83,0.95,1.01,13.68,16.31,1.01,0,38
"2.5%406","Lagrange","Residential Improved","Milford",0.88,0.93,0.97,12.5,15.58,1.02,0,100
"2.5%407","Lagrange","Residential Improved","Newbury",0.92,0.96,0.98,12.84,16.89,1.01,0,75
"df_sp180","Lagrange","Residential Improved","Springfield",0.81,0.95,1,11.21,13.76,1.02,0,12
"2.5%408","Lagrange","Residential Improved","Van Buren",0.89,0.94,0.99,11.08,13.14,1.02,0,31
"df_sp181","Lake","Industrial Vacant","Countywide",1,1.01,1.14,30.65,48.26,1.15,0,9
"2.5%409","Lake","Industrial Improved","Countywide",0.95,0.96,0.98,13.18,40.98,1.09,0,49
"df_sp182","Lake","Industrial Improved","Calumet",0.79,0.98,1,12.85,22.12,1.11,0,11
"df_sp183","Lake","Industrial Improved","Center",0.95,0.97,1.17,43.7,72.79,1.33,0,7
"df_sp184","Lake","Industrial Improved","North",0.95,0.98,0.99,5.32,9.1,0.98,0,19
"df_sp185","Lake","Industrial Improved","Ross",0.89,0.91,0.95,6.47,9.67,1.01,0,9
"1116","Lake","Industrial Improved","Cedar Creek",NA,NA,NA,NA,NA,NA,NA,3
"2.5%410","Lake","Commercial Vacant","Countywide",0.89,0.99,1,15.07,26.37,1.06,0,29
"df_sp186","Lake","Commercial Vacant","Center",0.87,0.98,1.01,7.49,11.87,1.01,0,7
