"","County","Type","Grouping","LowerBound","Median","UpperBound","COD","COV","PRD","PRB","Sales"
"2.5%536","Montgomery","Residential Improved","Countywide",0.93975,0.96,0.98,14.85,18.87,1.02,0,320
"2.5%537","Montgomery","Residential Improved","Brown",0.91,1,1.07,15.59,19.47,1.02,0,44
"2.5%538","Montgomery","Residential Improved","Madison",0.9,0.97,0.99,12.51,16.66,1.01,0,42
"2.5%539","Montgomery","Residential Improved","Union",0.92,0.95,0.98,15.14,19.08,1.01,0,234
"1133","Morgan","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1134","Morgan","Industrial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp240","Morgan","Commercial Vacant","Countywide",0.71,1,1.02,16.06,22.95,0.98,0,14
"2.5%540","Morgan","Commercial Improved","Countywide",0.93,0.97,1.08,117.58,119.03,1.25,0,30
"2.5%541","Morgan","Residential Vacant","Countywide",0.94,0.97,1,11.96,19.63,1.02,0,201
"2.5%542","Morgan","Residential Vacant","Adams",1,1,1,9.14,16.21,1.03,0,77
"2.5%543","Morgan","Residential Vacant","Ray",0.91,0.95,0.99,14.8,25.93,1,0,54
"2.5%544","Morgan","Residential Vacant","Brown",0.89975,0.94,0.97,11.76,19.63,1.05,0,34
"2.5%545","Morgan","Residential Vacant","Jackson",0.9,0.97,1.02,11.45,15.86,0.97,0,35
"2.5%546","Morgan","Residential Improved","Countywide",0.92,0.93,0.94,31.98,82.83,1.17,0,1341
"2.5%547","Morgan","Residential Improved","Adams",0.87,0.92,1.05,46.87,116.32,1.26,0,21
"2.5%548","Morgan","Residential Improved","Baker",0.84975,0.91,0.98025,17.31,31.07,1,0,24
"2.5%549","Morgan","Residential Improved","Brown",0.9,0.92,0.93,20.72,79.68,1.1,0,235
"2.5%550","Morgan","Residential Improved","Clay",0.9,0.93,0.98,9.68,12.07,1,0,47
"2.5%551","Morgan","Residential Improved","Green",0.89,0.91,0.94,6.99,9.73,1,0,34
"2.5%552","Morgan","Residential Improved","Gregg",0.87,0.93,0.97,14.64,28.2,1.02,0,44
"df_sp241","Morgan","Residential Improved","Harrison",0.9,0.94,1.07,21.44,32.69,1.04,0,18
"2.5%553","Morgan","Residential Improved","Jackson",0.85,0.91,0.95,16.28,27.4,1.04,0,46
"2.5%554","Morgan","Residential Improved","Jefferson",0.82,0.91,0.95,13.73,18.2,1.01,0,31
"2.5%555","Morgan","Residential Improved","Madison",0.91,0.93,0.95,49.41,98.19,1.31,0,356
"2.5%556","Morgan","Residential Improved","Monroe",0.93,0.94,0.96,52.7,80.56,1.37,0,187
"2.5%557","Morgan","Residential Improved","Washington",0.93,0.94,0.96,20.43,62.45,1.05,0,298
"1135","Newton","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1136","Newton","Industrial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1137","Newton","Commercial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"2.5%558","Newton","Commercial Improved","Countywide",0.85,0.92,0.98025,31.93,86.57,1.17,0,30
"2.5%559","Newton","Residential Vacant","Countywide",0.82,0.91,0.980749999999999,32.48,44.89,1.35,0,63
"2.5%560","Newton","Residential Improved","Countywide",0.94,0.96,0.97,47.78,123.78,1.3,0,713
"2.5%561","Newton","Residential Improved","Beaver",0.89,0.93,0.98,36.53,106.88,1.19,0,88
"2.5%562","Newton","Residential Improved","Grant",0.87975,0.96,1,19.13,29.66,1.07,0,50
"2.5%563","Newton","Residential Improved","Iroquois",0.88,0.94,0.98,17.95,26.58,1.03,0,57
"2.5%564","Newton","Residential Improved","Jefferson",0.93,0.94,0.99,60.88,141.36,1.4,0,137
"2.5%565","Newton","Residential Improved","Lake",0.94,0.97,1.02,76.99,131.21,1.51,0,131
"2.5%566","Newton","Residential Improved","Lincoln",0.95,0.97,1,41.45,116.8,1.27,0,244
"1138","Noble","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1139","Noble","Industrial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp242","Noble","Commercial Vacant","Countywide",0.06,0.08,0.93,375.58,112.45,1.51,0,5
"2.5%567","Noble","Commercial Improved","Countywide",0.79,0.93,1,25.51,40.97,1.39,0,40
"2.5%568","Noble","Residential Vacant","Countywide",0.86,0.92,1,33.53,51.5,1.32,0,52
"2.5%569","Noble","Residential Improved","Countywide",0.95,0.96,0.97,19.23,40.55,1.06,0,1216
"2.5%570","Noble","Residential Improved","Albion",0.89,0.97,1.03,24.05,45.34,1.07,0,53
"2.5%571","Noble","Residential Improved","Allen",0.94,0.96,0.99,15.33,33.57,1.06,0,215
"2.5%572","Noble","Residential Improved","Elkhart",0.82,0.9,1.01,21.56,32.7,1.03,0,42
"2.5%573","Noble","Residential Improved","Green",0.92,0.98,1.06,46.08,81.03,1.26,0,24
"2.5%574","Noble","Residential Improved","Jefferson",0.86,0.96,0.99,15.95,27.94,0.97,0,26
"2.5%575","Noble","Residential Improved","Noble",0.9,0.95,1.01,17.44,24.32,1.02,0,91
"2.5%576","Noble","Residential Improved","Orange",0.92,0.96,0.97,17.12,32.53,1.04,0,134
"2.5%577","Noble","Residential Improved","Perry",0.93,0.97,1,19.89,38.77,1.1,0,115
"2.5%578","Noble","Residential Improved","Sparta",0.93,0.98,1.06,26.37,45.65,1.06,0,39
"2.5%579","Noble","Residential Improved","Swan",0.89,0.95,0.99,13.47,19.91,1,0,38
"2.5%580","Noble","Residential Improved","Washington",0.91,0.92,1.01,31.84,59.86,1.19,0,41
"2.5%581","Noble","Residential Improved","Wayne",0.95,0.97,0.98,18.9,40.82,1.07,0,369
"2.5%582","Noble","Residential Improved","York",0.87,0.92,0.97,13.68,20.71,1,0,29
"1140","Ohio","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1141","Ohio","Industrial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1142","Ohio","Commercial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
