"","County","Type","Grouping","LowerBound","Median","UpperBound","COD","COV","PRD","PRB","Sales"
"df_sp105","Harrison","Residential Improved","Boone",0.91,0.94,1,6.2,7.49,1.02,0,12
"df_sp106","Harrison","Residential Improved","Taylor",0.9,0.96,1.02,6.16,6.78,1,0,6
"2.5%260","Harrison","Residential Improved","Webster",0.91,0.94,0.95,11.23,19,1.01,0,23
"1107","Hendricks","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1108","Hendricks","Industrial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1109","Hendricks","Commercial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1110","Hendricks","Commercial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1111","Hendricks","Residential Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"2.5%261","Hendricks","Residential Improved","Countywide",0.92,0.92,0.93,8.28,16.22,1,0,2182
"2.5%262","Hendricks","Residential Improved","Brown",0.94,0.95,0.96,6.66,8.7,1,0,239
"2.5%263","Hendricks","Residential Improved","Center",0.89,0.9,0.91,9.22,14.51,1.01,0,180
"2.5%264","Hendricks","Residential Improved","Guilford",0.89,0.91,0.92,8.19,11.6,1,0,332
"2.5%265","Hendricks","Residential Improved","Liberty",0.92,0.94,0.97,7.06,9.73,1.01,0,81
"2.5%266","Hendricks","Residential Improved","Lincoln",0.93,0.94,0.95,9.44,26.21,1.01,0,498
"2.5%267","Hendricks","Residential Improved","Middle",0.91,0.93,0.98,8.89,11.26,1,0,73
"2.5%268","Hendricks","Residential Improved","Eel River",0.86,0.9,0.96,11.49,14.96,1.03,0,33
"2.5%269","Hendricks","Residential Improved","Washington",0.91,0.92,0.92,7.23,10.94,1,0,733
"1112","Henry","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1113","Henry","Industrial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1114","Henry","Commercial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
