"","County","Type","Grouping","LowerBound","Median","UpperBound","COD","COV","PRD","PRB","Sales"
"2.5%109","Clinton","Residential Improved","Ross",0.92,0.96,1.04,9.46,12.35,1,0,21
"df_sp46","Clinton","Residential Improved","Michigan",0.52,0.81,0.99,23.38,29.15,1.03,0,11
"133","Crawford","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"134","Crawford","Industrial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"135","Crawford","Commercial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp47","Crawford","Commercial Improved","Countywide",0.81,0.92,0.99,9.19,11.83,1,0,6
"df_sp48","Crawford","Residential Vacant","Countywide",0.78,0.96,1.01,22.47,38.65,1.02,0,13
"df_sp49","Crawford","Residential Vacant","Boone",0.68,0.99,1.15,22.39,35.5,0.99,0,8
"df_sp50","Crawford","Residential Vacant","Patoka",0.12,0.9,0.98,20.64,47.32,1.02,0,5
"2.5%110","Crawford","Residential Improved","Countywide",0.89,0.91,0.93,10.25,15.52,1.01,0,57
"df_sp51","Crawford","Residential Improved","Boone",0.76,0.94,0.96,11.78,17.03,1.02,0,6
"df_sp52","Crawford","Residential Improved","Jennings",0.72,0.9,0.91,15.41,22.88,0.99,0,13
"df_sp53","Crawford","Residential Improved","Johnson",0.87,0.89,0.98,12.46,16.64,1.02,0,15
"df_sp54","Crawford","Residential Improved","Liberty",0.9,0.93,0.96,6,8.82,1.01,0,15
"df_sp55","Crawford","Residential Improved","Whiskey Run",0.87,0.91,0.95,3.59,5.11,1.01,0,8
"136","Daviess","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"137","Daviess","Industrial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"138","Daviess","Commercial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"139","Daviess","Commercial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp56","Daviess","Residential Vacant","Countywide",0.22,0.54,0.94,54.96,65.44,0.67,0,10
"2.5%111","Daviess","Residential Improved","Countywide",0.94,0.97,1,13.51,19.72,1.01,0,157
"2.5%112","Daviess","Residential Improved","Madison",0.84,0.94,1.08,13.54,14.79,1.02,0,20
"2.5%113","Daviess","Residential Improved","Washington",0.94,0.96,1.00025,14.5,22.57,1.02,0,94
"df_sp57","Daviess","Residential Improved","Elmore",0.83,0.9,0.99,12.97,18.56,1.03,0,14
"2.5%114","Daviess","Residential Improved","Barr",0.92,1.02,1.06,9.33,12.72,0.99,0,29
"140","Dearborn","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"141","Dearborn","Industrial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"142","Dearborn","Commercial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"2.5%115","Dearborn","Commercial Improved","Countywide",0.84,0.89,0.94,21,34.21,1.03,0,44
"2.5%116","Dearborn","Residential Vacant","Countywide",0.78,0.82,0.9,41.36,56.26,1.75,0,114
"2.5%117","Dearborn","Residential Improved","Countywide",0.88,0.89,0.91,21.05,39.5,1.08,0,900
"2.5%118","Dearborn","Residential Improved","Caesar Creek",0.85,0.89,0.94,22.88,51.06,1.09,0,43
"2.5%119","Dearborn","Residential Improved","Hogan",0.81,0.9,0.97,28.7,48.26,1.15,0,35
"2.5%120","Dearborn","Residential Improved","Center",0.85,0.91,0.96,31.46,54.68,1.16,0,108
"2.5%121","Dearborn","Residential Improved","Harrison",0.83,0.89,0.94,18.68,27.92,1.07,0,57
"df_sp58","Dearborn","Residential Improved","Jackson",0.71,0.84,0.91,16.14,19.89,1.03,0,16
"2.5%122","Dearborn","Residential Improved","Kelso",0.81,0.9,0.95025,16.75,23.63,1.05,0,33
"2.5%123","Dearborn","Residential Improved","Lawrenceburg",0.86,0.89,0.91,16.33,23.21,1.03,0,275
"2.5%124","Dearborn","Residential Improved","Logan",0.86,0.89,0.92,23.67,37.07,1.09,0,50
"2.5%125","Dearborn","Residential Improved","Miller",0.88,0.89,0.92,15.13,26.41,1.03,0,245
"2.5%126","Dearborn","Residential Improved","Sparta",0.69975,0.83,1.02,71.59,85.8,1.52,0,28
"df_sp59","Dearborn","Residential Improved","York",0.73,0.94,1.22,35.73,49.22,1.19,0,10
"143","Decatur","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"144","Decatur","Industrial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"145","Decatur","Commercial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"2.5%127","Decatur","Commercial Improved","Countywide",0.72,0.85,0.92,21.2,29.2,0.94,0,37
"2.5%128","Decatur","Residential Vacant","Countywide",0.59,0.72,0.87,40.24,53.4,0.82,0,39
"2.5%129","Decatur","Residential Improved","Countywide",0.91,0.93,0.94,14.83,33.33,1.03,0,775
"2.5%130","Decatur","Residential Improved","Adams",0.85,0.95,0.98,15.07,19.32,1.01,0,42
